ID	DOCULECT	CONCEPT_IN_SOURCE	CONCEPT_FRENCH	IPA	VALUE	FORM	CONCEPTICON_ID	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS
7709	Bambara		fuméé	kù kùmú	sìsí	sìsí	778	SMOKE	s ¹/i s ⁵/i	3 7 3 7	AXBZ	SISI	2	2.S.C 2.I.V 2.S.C 2.I.V	2.0 1.5 1.75 0.8	0	3839
7710	Bozo_Debo		fuméé	kùmbù	tiri	tiri	778	SMOKE	t i r i	1 7 5 7	AXBZ	TIRI	7	7.T.C 7.I.V 7.R.C 7.I.V	2.0 1.5 1.75 0.8	0	3842
7711	Bozo_Hainyaxo		fuméé	furaa	furaa	furaa	778	SMOKE	f u r aː	3 7 5 7	AXBZ	BYRA	8	8.B.C 8.Y.V 8.R.C 8.A.V	2.0 1.5 1.75 0.8	0	3843
7712	Bozo_Korondougou_nord		fuméé	titi	titi	titi	778	SMOKE	t i t i	1 7 1 7	AXBZ	TITI	9	9.T.C 9.I.V 9.T.C 9.I.V	2.0 1.5 1.75 0.8	0	3842
7713	Bozo_Korondougou_sud		fuméé	tidi	tidi	tidi	778	SMOKE	t i d i	1 7 1 7	AXBZ	TITI	10	10.T.C 10.I.V 10.T.C 10.I.V	2.0 1.5 1.75 0.8	0	3842
7714	Bozo_Kotya		fuméé	tidi	tidi	tidi	778	SMOKE	t i d i	1 7 1 7	AXBZ	TITI	11	11.T.C 11.I.V 11.T.C 11.I.V	2.0 1.5 1.75 0.8	0	3842
7715	Bozo_Pondori_nord		fuméé	tidi	tidi	tidi	778	SMOKE	t i d i	1 7 1 7	AXBZ	TITI	12	12.T.C 12.I.V 12.T.C 12.I.V	2.0 1.5 1.75 0.8	0	3842
7716	Bozo_Pondori_sud		fuméé	titi	titi	titi	778	SMOKE	t i t i	1 7 1 7	AXBZ	TITI	13	13.T.C 13.I.V 13.T.C 13.I.V	2.0 1.5 1.75 0.8	0	3842
7717	Bozo_Tieyaxo		fuméé	piraⁿ	piraⁿ	piraⁿ	778	SMOKE	p i r ã	1 7 5 7	AXBZ	PIRA	14	14.P.C 14.I.V 14.R.C 14.A.V	2.0 1.5 1.75 0.8	0	3843
7718	Bozo_Tiema_Cewe		fuméé	pira	pira	pira	778	SMOKE	p i r a	1 7 5 7	AXBZ	PIRA	15	15.P.C 15.I.V 15.R.C 15.A.V	2.0 1.5 1.75 0.8	0	3843
7719	Soninke		fuméé	tììdê	tììdê	tììdê	778	SMOKE	t ¹/i: d ⁵¹/e	1 7 1 7	AXBZ	TITE	29	29.T.C 29.I.V 29.T.C 29.E.V	2.0 1.5 1.75 0.8	0	3842
7720	Toro_So	smoke	fuméé	kù kùmú	kù kùmú	kù kùmú	778	SMOKE	k ¹/u + k ¹/u m ⁵/u	1 7 9 1 7 4 7	AX_AXBZ	KY_KYMY	35	35.K.C 35.Y.V 35._._ 35.K.C 35.Y.V 35.M.C 35.Y.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	3847 3838
7721	Toro_So	smoke	fuméé	kòkò mɔ́	kòkò mɔ́	kòkò mɔ́	778	SMOKE	k ¹/o + k ¹/o m ⁵/ɔ	1 7 9 1 7 4 7	AX_AXBZ	KU_KUMU	35	35.K.C 35.U.V 35._._ 35.K.C 35.U.V 35.M.C 35.U.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	3848 3838
7722	Bondu_So	smoke	fuméé	kùmbù	kùmbù	kùmbù	778	SMOKE	k ¹/u ⁿb ¹/u	1 7 1 7	AXBZ	KYPY	6	6.K.C 6.Y.V 6.P.C 6.Y.V	2.0 1.5 1.75 0.8	0	3838
7723	Bangime	smoke, steam	fuméé, vapeur	kòkò mɔ́	kòkò mɔ́	kòkò mɔ́	778	SMOKE	k ¹/o k ¹/o + m ⁵/ɔ 								
7724	Songhai_Senni	[tr] smooth, level, flatten (e.g. wall plaster or floor, with a trowel)	aplanir, aplatir (surface d’un mur, ou sol d’une maison, avec une truelle.) [<Ful vmeel-].	mé:lê	mé:lê	mé:lê	1234	SMOOTH	m ⁵/eː l ⁵¹/e	4 7 5 7	AXBZ	MELE	28	28.M.C 28.E.V 28.L.C 28.E.V	2.0 1.5 1.75 0.8	0	3858
7725	Songhai_Senni	[intr] be smooth, sleek, slippery, glossy	ê. lisse, glissant [adj yùlt-ò ; <*yú rt ú or *yú l t ú , KS yut	yúltú	yúltú	yúltú	1234	SMOOTH	j ⁵/u l t ⁵/u	6 7 5 1 7	AXMBZ	JYLTY	28	28.J.C 28.Y.V 28.L.c 28.T.C 28.Y.V	2.0 1.5 1.1 1.75 0.8	0	3859
7726	Bambara		lisse	nùgú	nùgú	nùgú	1234	SMOOTH	n ¹/u ɡ ⁵/u	4 7 1 7	AXBZ	NYKY	2	2.N.C 2.Y.V 2.K.C 2.Y.V	2.0 1.5 1.75 0.8	0	3842
7727	Bozo_Debo		lisse	puru	puru	puru	1234	SMOOTH	p u r u	1 7 5 7	AXBZ	PYRY	7	7.P.C 7.Y.V 7.R.C 7.Y.V	2.0 1.5 1.75 0.8	0	3849
7728	Bozo_Hainyaxo		lisse	nuguⁿna	nuguⁿna	nuguⁿna	1234	SMOOTH	n u ɡ ũ n a	4 7 1 7 4 7	AXBYBZ	NYKYNA	8	8.N.C 8.Y.V 8.K.C 8.Y.V 8.N.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	3842
7729	Bozo_Korondougou_nord		lisse	puruⁿ	puruⁿ	puruⁿ	1234	SMOOTH	p u r ũ	1 7 5 7	AXBZ	PYRY	9	9.P.C 9.Y.V 9.R.C 9.Y.V	2.0 1.5 1.75 0.8	0	3849
7730	Bozo_Korondougou_sud		lisse	puluⁿ	puluⁿ	puluⁿ	1234	SMOOTH	p u l ũ	1 7 5 7	AXBZ	PYLY	10	10.P.C 10.Y.V 10.L.C 10.Y.V	2.0 1.5 1.75 0.8	0	3849
7731	Bozo_Kotya		lisse	puru	puru	puru	1234	SMOOTH	p u r u	1 7 5 7	AXBZ	PYRY	11	11.P.C 11.Y.V 11.R.C 11.Y.V	2.0 1.5 1.75 0.8	0	3849
7732	Bozo_Pondori_nord		lisse	nugu	nugu	nugu	1234	SMOOTH	n u ɡ u	4 7 1 7	AXBZ	NYKY	12	12.N.C 12.Y.V 12.K.C 12.Y.V	2.0 1.5 1.75 0.8	0	3842
7733	Bozo_Pondori_sud		lisse	furu	furu	furu	1234	SMOOTH	f u r u	3 7 5 7	AXBZ	BYRY	13	13.B.C 13.Y.V 13.R.C 13.Y.V	2.0 1.5 1.75 0.8	0	3849
7734	Bozo_Tieyaxo		lisse	salaⁿnaⁿ	salaⁿnaⁿ	salaⁿnaⁿ	1234	SMOOTH	s a l ã n ã	3 7 5 7 4 7	AXBYBZ	SALANA	14	14.S.C 14.A.V 14.L.C 14.A.V 14.N.C 14.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	3850
7735	Bozo_Tiema_Cewe		lisse	daatenani	daatenani	daatenani	1234	SMOOTH	d aː t e n a n i	1 7 1 7 4 7 4 7	AXBYBYBZ	TATENANI	15	15.T.C 15.A.V 15.T.C 15.E.V 15.N.C 15.A.V 15.N.C 15.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	3847
7736	Bankan_Tey	smooth, sleek (adjective)	lisse (surface)	órù-m	órùm	órùm	1234	SMOOTH	⁵/o r ¹/u + m	7 5 7 4	XBYN	URYM	4	4.U.V 4.R.C 4.Y.V 4.M.c	1.5 1.75 1.3 0.8	0	3845
7737	Ben_Tey	smooth, sleek (adjective)	lisse (surface)	órù-m	órù-m	órù-m	1234	SMOOTH	⁵/o r ¹/u + m	7 5 7 9 4	XBZ_A	URY_M	5	5.U.V 5.R.C 5.Y.V 5._._ 5.M.C	1.5 1.75 0.8 0.0 2.0	0	3845 3846
7738	Bunoge	smooth, sleek (adjective)	lisse (surface)	bòràllà-gà	bòràllà-gà	bòràllà-gà	1234	SMOOTH	b ¹/o r ¹/a l l ¹/a + ɡ ¹/a	1 7 5 7 5 5 7 9 1 7	AXBYMBZ_AX	PURALLA_KA	16	16.P.C 16.U.V 16.R.C 16.A.V 16.L.c 16.L.C 16.A.V 16._._ 16.K.C 16.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8 0.0 2.0 1.5	0	3849 3851
7739	Dogul_Dom	smooth, sleek (adjective)	lisse (surface)	ɔ́nɔ̀-nɔ̀-ŋ̀	ɔ́nɔ̀nɔ̀-ŋ̀	ɔ́nɔ̀nɔ̀-ŋ̀	1234	SMOOTH	⁵/ɔ n ¹/ɔ + n ¹/ɔ + ŋ	7 4 7 4 7 9 4	XBYBZ_A	UNUNU_N	17	17.U.V 17.N.C 17.U.V 17.N.C 17.U.V 17._._ 17.N.C	1.5 1.75 1.3 1.75 0.8 0.0 2.0	0	3847 3852
7740	Gourou	smooth, sleek (adjective)	lisse (surface)	ònù-rú	ònùrú	ònùrú	1234	SMOOTH	¹/o n ¹/u + r ⁵/u	7 4 7 5 7	XBYBZ	UNYRY	20	20.U.V 20.N.C 20.Y.V 20.R.C 20.Y.V	1.5 1.75 1.3 1.75 0.8	0	3855
7741	Bondu_So	smooth, sleek (adjective)	lisse (surface)	ónà-nà_ónà-nɛ̀:	ónànà ónànɛ̀:	ónànà_ónànɛ̀:	1234	SMOOTH	⁵/o n ¹/a+ n ¹/a + ⁵/o n ¹/+ a n ¹/ɛː	7 4 7 4 7 9 7 4 7 4 7	XBYBZ_XBYBZ	UNANA_UNANE	6	6.U.V 6.N.C 6.A.V 6.N.C 6.A.V 6._._ 6.U.V 6.N.C 6.A.V 6.N.C 6.E.V	1.5 1.75 1.3 1.75 0.8 0.0 1.5 1.75 1.3 1.75 0.8	0	3847 3848
7742	Nanga	smooth, sleek (adjective)	lisse (surface)	órî	órî	órî	1234	SMOOTH	⁵/o r ⁵¹/i	7 5 7	XBZ	URI	24	24.U.V 24.R.C 24.I.V	1.5 1.75 0.8	1	3845
7743	Tebul_Ure	smooth, sleek (adjective)	lisse (surface)	ɔ́rⁿɔ́-nɛ̀:	ɔ́rⁿɔ́nɛ̀:	ɔ́rⁿɔ́nɛ̀:	1234	SMOOTH	⁵/ɔ ∼/r̃ ⁵/ɔ + n ¹/ɛː	7 5 7 4 7	XBYBZ	URUNE	30	30.U.V 30.R.C 30.U.V 30.N.C 30.E.V	1.5 1.75 1.3 1.75 0.8	0	3847
7744	Togo_Kan	smooth, sleek (adjective)	lisse (surface)	ɔ̀rⁿɔ́-nɔ́nɔ́	ɔ̀rⁿɔ́nɔ́nɔ́	ɔ̀rⁿɔ́nɔ́nɔ́	1234	SMOOTH	¹/ɔ ∼/r̃ ⁵/ɔ n + ⁵/ɔ n ⁵/ɔ	7 5 7 4 7 4 7	XBYBYBZ	URUNUNU	32	32.U.V 32.R.C 32.U.V 32.N.C 32.U.V 32.N.C 32.U.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	3847
7745	Tommo_So	smooth, sleek (adjective)	lisse (surface)	ɔ̀rɔ̌-y	ɔ̀rɔ̌y	ɔ̀rɔ̌y	1234	SMOOTH	¹/ɔ r ¹⁵/ɔ + j	7 5 7 6	XBYN	URUJ	33	33.U.V 33.R.C 33.U.V 33.J.c	1.5 1.75 1.3 0.8	0	3845
7746	Toro_Tegu	smooth, sleek (adjective)	lisse (surface)	òlú	òlú	òlú	1234	SMOOTH	¹/o l ⁵/u	7 5 7	XBZ	ULY	36	36.U.V 36.L.C 36.Y.V	1.5 1.75 0.8	0	3845
7747	Yanda_Dom	smooth, sleek (adjective)	lisse (surface)	ɔ̀rⁿɔ̀-ndú	ɔ̀rⁿɔ̀ndú	ɔ̀rⁿɔ̀ndú	1234	SMOOTH	¹/ɔ ∼/r̃ ¹/ɔ + ⁿd ⁵/u	7 5 7 1 7	XBYBZ	URUTY	37	37.U.V 37.R.C 37.U.V 37.T.C 37.Y.V	1.5 1.75 1.3 1.75 0.8	0	3845
7748	Yorno_So	smooth, sleek (adjective)	lisse (surface)	ɔ́rɔ̀-y	ɔ́rɔ̀y	ɔ́rɔ̀y	1234	SMOOTH	⁵/ɔ r ¹/ɔ + j	7 5 7 6	XBYN	URUJ	38	38.U.V 38.R.C 38.U.V 38.J.c	1.5 1.75 1.3 0.8	0	3845
7749	Donno_So	smooth, sleek (adjective)	lisse (surface)	ɔ́nɔ̀-nɔ̀	ɔ́nɔ̀nɔ̀	ɔ́nɔ̀nɔ̀	1234	SMOOTH	⁵/ɔ n ¹/ɔ + n ¹/ɔ	7 4 7 4 7	XBYBZ	UNUNU	18	18.U.V 18.N.C 18.U.V 18.N.C 18.U.V	1.5 1.75 1.3 1.75 0.8	0	3847
7750	Jamsay	smooth, sleek (adjective)	lisse (surface)	ònù-rⁿú	ònùrⁿú	ònùrⁿú	1234	SMOOTH	¹/o n ¹/u + ∼/r̃ ⁵/u	7 4 7 5 7	XBYBZ	UNYRY	21	21.U.V 21.N.C 21.Y.V 21.R.C 21.Y.V	1.5 1.75 1.3 1.75 0.8	0	3855
7751	Mombo	smooth, sleek (adjective)	lisse (surface)	ɔ́nɔ́-nɔ́	ɔ́nɔ́nɔ́	ɔ́nɔ́nɔ́	1234	SMOOTH	⁵/ɔ n ⁵/ɔ + n ⁵/ɔ	7 4 7 4 7	XBYBZ	UNUNU	23	23.U.V 23.N.C 23.U.V 23.N.C 23.U.V	1.5 1.75 1.3 1.75 0.8	0	3847
7752	Penange	smooth, sleek (adjective)	lisse (surface)	ɔ̀nà-nà	ɔ̀nànà	ɔ̀nànà	1234	SMOOTH	¹/ɔ n ¹/a + n ¹/a	7 4 7 4 7	XBYBZ	UNANA	25	25.U.V 25.N.C 25.A.V 25.N.C 25.A.V	1.5 1.75 1.3 1.75 0.8	0	3847
7753	Tiranige_Diga	smooth, sleek (adjective)	lisse (surface)	búrá-dá	búrádá	búrádá	1234	SMOOTH	b ⁵/u r ⁵/a + d ⁵/a	1 7 5 7 1 7	AXBYBZ	PYRATA	31	31.P.C 31.Y.V 31.R.C 31.A.V 31.T.C 31.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	3849
7754	Perge_Tegu	smooth, sleek (adjective)	lisse (surface)	órù-m	órù-m	órùm	1234	SMOOTH	⁵/o r ¹/u + m	7 5 7 4	XBYN	URYM	26	26.U.V 26.R.C 26.Y.V 26.M.c	1.5 1.75 1.3 0.8	0	3845
7755	Bangime	smooth, sleek (surface)	lisse (surface)	ɔ́r̃ɔ́ nì	mérú-mérù	mérú-mérù	1234	SMOOTH	m ⁵/e r ⁵/u + m ⁵/e r ¹/u	4 7 5 7 9 4 7 5 7	AXBZ_AXBZ	MERY_MERY	3	3.M.C 3.E.V 3.R.C 3.Y.V 3._._ 3.M.C 3.E.V 3.R.C 3.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	3843 3844
7756	Jenaama	smooth, sleek (surface)	lisse (surface)	óŋà-nà	dáátà-nà	dáátà-nà	1234	SMOOTH	d ⁵/aː t ¹/a + n ¹/a	1 7 1 7 9 4 7	AXBZ_AX	TATA_NA	22	22.T.C 22.A.V 22.T.C 22.A.V 22._._ 22.N.C 22.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	3856 3857
7757	Fulfulde	smooth, sleek (surface)	lisse (surface)	haas-aade	haasaade	haas-aade	1234	SMOOTH	h aː s + aː d e	3 7 3 9 7 1 7	AXN_XBZ	HAS_ATE	19	19.H.C 19.A.V 19.S.c 19._._ 19.A.V 19.T.C 19.E.V	2.0 1.5 0.8 0.0 1.5 1.75 0.8	0	3853 3854
7758	Songhai_Senni	[adj] smooth, sleek, slippery	lisse, glissant [<verb yúltú].	yùlt-ò	yùlt-ò	yùlt-ò	1234	SMOOTH	j ¹/u l t + ¹/o	6 7 5 1 9 7	AXLN_X	JYLT_U	28	28.J.C 28.Y.V 28.L.c 28.T.c 28._._ 28.U.V	2.0 1.5 1.1 0.8 0.0 1.5	0	3859 3860
7759	Toro_So	smooth, sleek (surface)	lisse (surface)	ɔ́r̃ɔ́ nì	ɔ́r̃ɔ́ nì	ɔ́r̃ɔ́ nì	1234	SMOOTH	⁵/ɔ ∼/r ⁵/ɔ + n ¹/i	7 5 7 9 4 7	XBZ_AX	URU_NI	35	35.U.V 35.R.C 35.U.V 35._._ 35.N.C 35.I.V	1.5 1.75 0.8 0.0 2.0 1.5	0	3845 3857
7760	Bondu_So	smooth, sleek (surface)	lisse (surface)	óŋà-nà	óŋànà	óŋànà	1234	SMOOTH	⁵/o ŋ ¹/a + n ¹/a	7 4 7 9 4 7	XBZ_AX	UNA_NA	6	6.U.V 6.N.C 6.A.V 6._._ 6.N.C 6.A.V	1.5 1.75 0.8 0.0 2.0 1.5	0	3847 3857
7761	Bozo_Hainyaxo		serpent	nɛgɛ-fɔɔ	nɛgɛfɔɔ	nɛgɛfɔɔ	730	SNAKE	n ɛ ɡ ɛ + f ɔː	4 7 1 7 3 7	AXBYBZ	NEKEBU	8	8.N.C 8.E.V 8.K.C 8.E.V 8.B.C 8.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	3872
7762	Bozo_Pondori_nord		serpent	mɛrɛ-dɛfɔ	mɛrɛdɛfɔ	mɛrɛdɛfɔ	730	SNAKE	m ɛ r ɛ + d ɛ f ɔ	4 7 5 7 9 1 7 3 7	AXBZ_AXBZ	MERE_TEBU	12	12.M.C 12.E.V 12.R.C 12.E.V 12._._ 12.T.C 12.E.V 12.B.C 12.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	3864 3866
7763	Bozo_Tieyaxo		serpent	muruduⁿ-poⁿ	muruduⁿpoⁿ	muruduⁿpoⁿ	730	SNAKE	m u r u d ũ + p õ	4 7 5 7 1 7 9 1 7	AXBYBZ_AX	MYRYTY_PU	14	14.M.C 14.Y.V 14.R.C 14.Y.V 14.T.C 14.Y.V 14._._ 14.P.C 14.U.V	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5	0	3864 3874
7764	Bozo_Pondori_sud		serpent	mɛrɛ-tɛfɔ	mɛrɛtɛfɔ	mɛrɛtɛfɔ	730	SNAKE	m ɛ r ɛ + t ɛ f ɔ	4 7 5 7 9 1 7 3 7	AXBZ_AXBZ	MERE_TEBU	13	13.M.C 13.E.V 13.R.C 13.E.V 13._._ 13.T.C 13.E.V 13.B.C 13.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	3864 3866
7765	Bozo_Kotya		serpent	mɛⁿɛⁿ-po	mɛⁿɛⁿpo	mɛⁿɛⁿpo	730	SNAKE	m ∼/ɛ: + p o	4 7 9 1 7	AX_AX	ME_PU	11	11.M.C 11.E.V 11._._ 11.P.C 11.U.V	2.0 1.5 0.0 2.0 1.5	0	3864 3874
7766	Bozo_Tiema_Cewe		serpent	mɛlɛ-po	mɛlɛpo	mɛlɛpo	730	SNAKE	m ɛ l ɛ + p o	4 7 5 7 9 1 7	AXBZ_AX	MELE_PU	15	15.M.C 15.E.V 15.L.C 15.E.V 15._._ 15.P.C 15.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	3864 3874
7767	Bozo_Debo		serpent	duaⁿnoⁿ-moⁿ	duaⁿnoⁿmoⁿ	duaⁿnoⁿmoⁿ	730	SNAKE	d u ã n õ + m õ	1 7 7 4 7 9 4 7	AXYBZ_AX	TYANU_MU	7	7.T.C 7.Y.V 7.A.V 7.N.C 7.U.V 7._._ 7.M.C 7.U.V	2.0 1.5 1.3 1.75 0.8 0.0 2.0 1.5	0	3871 3866
7768	Bozo_Korondougou_nord		serpent	sibo	sibo	sibo	730	SNAKE	s i b o	3 7 1 7	AXBZ	SIPU	9	9.S.C 9.I.V 9.P.C 9.U.V	2.0 1.5 1.75 0.8	0	3873
7769	Bozo_Korondougou_sud		serpent	siibo	siibo	siibo	730	SNAKE	s iː b o	3 7 1 7	AXBZ	SIPU	10	10.S.C 10.I.V 10.P.C 10.U.V	2.0 1.5 1.75 0.8	0	3873
7770	Bozo_Korondougou_sud		serpent	mɛrɛ-tɛfo	mɛrɛtɛfo	mɛrɛtɛfo	730	SNAKE	m ɛ r ɛ + t ɛ f o	4 7 5 7 9 1 7 3 7	AXBZ_AXBZ	MERE_TEBU	10	10.M.C 10.E.V 10.R.C 10.E.V 10._._ 10.T.C 10.E.V 10.B.C 10.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	3864 3866
7771	Soninke		serpent	sámáqqè	sámáqqè	sámáqqè	730	SNAKE	s ⁵/a m ⁵/a q q ¹/e	3 7 4 7 1 1 7	AXBYMBZ	SAMAKKE	29	29.S.C 29.A.V 29.M.C 29.A.V 29.K.c 29.K.C 29.E.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	3885
7772	Bambara		serpent	sà	sà	sà	730	SNAKE	s ¹/a	3 7	AX	SA	2	2.S.C 2.A.V	2.0 1.5	1	3863
7773	Bangime	snake (any)	serpent (tout)	kɛ́rɛ́-ń-dɛ́-kɛ̀	kɛ́r(ɛ́)-ń-dɛ́-kɛ̀	kɛ́rɛ́-ń-dɛ́-kɛ̀	730	SNAKE	k ⁵/ɛ r ⁵/ɛ + n + d ⁵/ɛ + k ¹/ɛ	1 7 5 7 9 4 9 1 7 9 1 7	AXBZ_A_AX_AX	KERE_N_TE_KE	3	3.K.C 3.E.V 3.R.C 3.E.V 3._._ 3.N.C 3._._ 3.T.C 3.E.V 3._._ 3.K.C 3.E.V	2.0 1.5 1.75 0.8 0.0 2.0 0.0 2.0 1.5 0.0 2.0 1.5	0	3864 3862 3865 3866
7774	Fulfulde	snake (any)	serpent (tout)	mboddi	mboddi	mboddi	730	SNAKE	ⁿb o d d i	1 7 1 1 7	AXMBZ	PUTTI	19	19.P.C 19.U.V 19.T.c 19.T.C 19.I.V	2.0 1.5 1.1 1.75 0.8	0	3861
7775	Jenaama	snake (any)	serpent (tout)	sìbò	sìbò	sìbò	730	SNAKE	s ¹/i b ¹/o	3 7 1 7	AXBZ	SIPU	22	22.S.C 22.I.V 22.P.C 22.U.V	2.0 1.5 1.75 0.8	0	3873
7776	Ampari	snake (any)	serpent (tout)	nɔ̌:-ŋgɔ̀	nɔ̌:ŋgɔ̀	nɔ̌:ŋgɔ̀	730	SNAKE	n ¹⁵/ɔː + ⁿɡ ¹/ɔ	4 7 9 1 7	AX_AX	NU_KU	1	1.N.C 1.U.V 1._._ 1.K.C 1.U.V	2.0 1.5 0.0 2.0 1.5	0	3861 3862
7777	Bangime	snake (any)	serpent (tout)	kɛ́rnɛ́_kɛ̀	kɛ́rnɛ́ kɛ̀	kɛ́rnɛ́_kɛ̀	730	SNAKE	k ⁵/ɛ r n ⁵/ɛ + k ¹/ɛ	1 7 5 4 7 9 1 7	AXMBZ_AX	KERNE_KE	3	3.K.C 3.E.V 3.R.c 3.N.C 3.E.V 3._._ 3.K.C 3.E.V	2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5	0	3886 3862
7778	Bankan_Tey	snake (any)	serpent (tout)	àwǎ-m	àwǎ-m	àwǎ-m	730	SNAKE	¹/a w ¹⁵/a + m	7 6 7 9 4	XBZ_A	AWA_M	4	4.A.V 4.W.C 4.A.V 4._._ 4.M.C	1.5 1.75 0.8 0.0 2.0	0	3867 3868
7779	Ben_Tey	snake (any)	serpent (tout)	àwǎ-m	àwǎ-m\\àwá	àwǎ-m	730	SNAKE	¹/a w ¹⁵/a + m	7 6 7 9 4	XBZ_A	AWA_M	5	5.A.V 5.W.C 5.A.V 5._._ 5.M.C	1.5 1.75 0.8 0.0 2.0	0	3867 3868
7780	Bunoge	snake (any)	serpent (tout)	nám-gà	námgà	námgà	730	SNAKE	n ⁵/a m + ɡ ¹/a	4 7 4 9 1 7	AXN_AX	NAM_KA	16	16.N.C 16.A.V 16.M.c 16._._ 16.K.C 16.A.V	2.0 1.5 0.8 0.0 2.0 1.5	0	3875 3862
7781	Dogul_Dom	snake (any)	serpent (tout)	nɛ̀mɛ̀-sìgí	nɛ̀mɛ̀sìgí	nɛ̀mɛ̀sìgí	730	SNAKE	n ¹/ɛ m ¹/ɛ + s ¹/i ɡ ⁵/i	4 7 4 7 9 3 7 1 7	AXBZ_AXBZ	NEME_SIKI	17	17.N.C 17.E.V 17.M.C 17.E.V 17._._ 17.S.C 17.I.V 17.K.C 17.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	3861 3876
7782	Donno_So	snake (any)	serpent (tout)	yùgú-rù	yùgúrù	yùgúrù	730	SNAKE	j ¹/u ɡ ⁵/u + r ¹/u	6 7 1 7 9 5 7	AXBZ_AX	JYKY_RY	18	18.J.C 18.Y.V 18.K.C 18.Y.V 18._._ 18.R.C 18.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	3877 3878
7783	Gourou	snake (any)	serpent (tout)	lù:ró	lù:ró	lù:ró	730	SNAKE	l ¹/uː r ⁵/o	5 7 5 7	AXBZ	LYRU	20	20.L.C 20.Y.V 20.R.C 20.U.V	2.0 1.5 1.75 0.8	0	3879
7784	Jamsay	snake (any)	serpent (tout)	lù:ró	lù:ró	lù:ró	730	SNAKE	l ¹/uː r ⁵/o	5 7 5 7	AXBZ	LYRU	21	21.L.C 21.Y.V 21.R.C 21.U.V	2.0 1.5 1.75 0.8	0	3879
7785	Mombo	snake (any)	serpent (tout)	nómó-njì	nómónjì	nómónjì	730	SNAKE	n ⁵/o m ⁵/o + ⁿdʒ ¹/i	4 7 4 7 9 1 7	AXBZ_AX	NUMU_TI	23	23.N.C 23.U.V 23.M.C 23.U.V 23._._ 23.T.C 23.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	3861 3880
7786	Bondu_So	snake (any)	serpent (tout)	kòŋgò_jàlá-ŋgó	kòŋgò jàlá-ŋgó\\bòmbò jàlá-mbó	kòŋgò_jàlá-ŋgó	730	SNAKE	k ¹/o ⁿɡ ¹/o + dʒ ¹/a l ⁵/a + ⁿɡ ⁵/o	1 7 1 7 9 1 7 5 7 9 1 7	AXBZ_AXBZ_AX	KUKU_TALA_KU	6	6.K.C 6.U.V 6.K.C 6.U.V 6._._ 6.T.C 6.A.V 6.L.C 6.A.V 6._._ 6.K.C 6.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	3869 3866 3870
7787	Nanga	snake (any)	serpent (tout)	yɛ̀-búmbâ	yɛ̀-búmbâ	yɛ̀-búmbâ	730	SNAKE	j ¹/ɛ + b ⁵/u ⁿb ⁵¹/a	6 7 9 1 7 1 7	AX_AXBZ	JE_PYPA	24	24.J.C 24.E.V 24._._ 24.P.C 24.Y.V 24.P.C 24.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	3881 3874
7788	Penange	snake (any)	serpent (tout)	nòmbòjì	nòmbòjì	nòmbòjì	730	SNAKE	n ¹/o ⁿb ¹/o + dʒ ¹/i	4 7 1 7 9 1 7	AXBZ_AX	NUPU_TI	25	25.N.C 25.U.V 25.P.C 25.U.V 25._._ 25.T.C 25.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	3861 3880
7789	Perge_Tegu	snake (any)	serpent (tout)	kì:-búmbɔ́	kì:-búmbɔ́	kì:-búmbɔ́	730	SNAKE	k ¹/iː + b ⁵/u ⁿb ⁵/ɔ	1 7 9 1 7 1 7	AX_AXBZ	KI_PYPU	26	26.K.C 26.I.V 26._._ 26.P.C 26.Y.V 26.P.C 26.U.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	3882 3874
